source_file,source_sheet,source_kind,source_quality_weight,condition,dealer_name,brand,model,version,year,year_imputed,mileage_km,fuel_type,transmission,body_style,price_listing_mga,price_excl_tax_mga,price_negotiable_mga,forward_filled
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Kaiyi,X3,ADVANTAGE (BVM),2025,true,0,,manual,,94900000,94900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Kaiyi,X3,PRESTIGE (BVA cuir),2025,true,0,,automatic,,104900000,104900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Kaiyi,X3,PRESTIGE (BVA tissus),2025,true,0,,automatic,,99900000,99900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Kaiyi,X3 PRO,(BVA),2025,true,0,,automatic,,129900000,129900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Kaiyi,X7,5 places,2025,true,0,,,suv,159900000,159900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Kaiyi,X7,7 places,2025,true,0,,,suv,169900000,169900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Kaiyi,E-QUTE 02,,2025,true,0,electric,,,79900000,79900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Haval,JOLION,PRO,2025,true,0,,,suv,139900000,139900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Haval,JOLION,HIGH,2025,true,0,,,suv,129900000,129900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Haval,JOLION,TOP AT,2025,true,0,,automatic,suv,139900000,139900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Haval,H6,3RD GEN TOP 1.5L,2025,true,0,,,suv,149900000,149900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Haval,H6,3RD GEN TOP 2.0L,2025,true,0,,,suv,159900000,159900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Haval,ORA GOOD CAT,,2025,true,0,,,,189900000,189900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Haval,H6 GT,,2025,true,0,,,suv,199900000,199900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Haval,DARGO,4X2,2025,true,0,,,suv,179900000,179900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Haval,DARGO,4X4,2025,true,0,,,suv,194900000,194900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,Haval,H6,HEV,2025,true,0,hybrid,,suv,149900000,149900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,POER,BOITE MANUELLE,2025,true,0,,manual,pickup,139900000,139900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,POER,AT,2025,true,0,,automatic,pickup,169900000,169900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,POER,BOITE AUTOMATIQUE - HIGH 2.4L,2025,true,0,,automatic,pickup,179900000,179900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,TANK 500,V6,2025,true,0,,,suv,389900000,389900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,TANK 500,HEV,2025,true,0,hybrid,,suv,299900000,299900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,WINGLE 5,SC 4X2 DIESEL,2025,true,0,diesel,,pickup,94900000,94900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,WINGLE 5,DC 4X4,2025,true,0,,,pickup,104900000,104900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,WINGLE 7,2025,2025,false,0,,,pickup,119900000,119900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,TANK 300,,2025,true,0,,,suv,259900000,259900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,TANK 300,HEV,2025,true,0,hybrid,,suv,249900000,249900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,WEY 80,4X4,2025,true,0,,,suv,339900000,339900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,TANK 400,PHEV,2025,true,0,hybrid,,suv,289900000,289900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,TANK 700,PHEV LUXURY SPORT TOP,2025,true,0,hybrid,,suv,499900000,499900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,TANK 700,PHEV TOP,2025,true,0,hybrid,,suv,399900000,399900000,,false
Ct motors.xlsx,Neuf,dealer_official,1,new,CT Motors,GreatWall,POER KINGKONG,,2025,true,0,,,pickup,129900000,129900000,,false
Ct motors.xlsx,Occasion,dealer_official,1,used,CT Motors,Kaiyi,X3,CVT 1.5L,,false,5200,,automatic,suv,99900000,,,false
Ct motors.xlsx,Occasion,dealer_official,1,used,CT Motors,Haval,H6,AT,,false,22400,,automatic,suv,110000000,,,false
Ct motors.xlsx,Occasion,dealer_official,1,used,CT Motors,Kaiyi,X7,1.6T BOITE AUTO CVT,,false,,,automatic,suv,122000000,,,false
Ct motors.xlsx,Occasion,dealer_official,1,used,CT Motors,Haval,H6,1.5T BOITE AUTO DCT7,,false,4370,,automatic,suv,125000000,,,false
Ct motors.xlsx,Occasion,dealer_official,1,used,CT Motors,Haval,H6 GT,2.0T BOITE AUTO DCT7,,false,,,automatic,suv,140000000,,,false
OT new.xlsx,Neuf,dealer_official,1,new,OCEANTRADE,Mazda,CX30,PROPLUS,2025,true,0,petrol,automatic,suv,139800000,139800000,,false
OT new.xlsx,Neuf,dealer_official,1,new,OCEANTRADE,Mazda,CX30,PREMIUM,2025,true,0,petrol,automatic,suv,149800000,149800000,,false
OT new.xlsx,Neuf,dealer_official,1,new,OCEANTRADE,Mazda,CX60,GT PREMIUM,2025,true,0,petrol,automatic,suv,249800000,249800000,,false
